Usuario,Id Usuario,Numero seguidores,Numero seguidos,descripción del perfil,Texto,Id Tweet,Likes,Retweets,Fecha,Tipo,Localizacion,Objetivo,Fuente,Usuario original
marcmarginedas,131216225,20769,1712,"Fui corresponsal de El Periodico en Moscu, y seguiré en otros lugares. Estudié Periodismo y Relaciones Internacionales. Adoro viajar por la exURSS y mundo árabe","Durante la guerra de Siria, @ManelAlias demostró que se podía trabajar en territorio del régimen de Asad y evitar ser correa de transmisión de la desinformación ruso-siria. En este reportaje, nos da una nueva lección de cómo informar 'desde el otro lado'. https://t.co/d20H1Gd6HD",1611028276671139840,70,11,2023-01-05 15:54:07+00:00,Tweet,Sin ubicación,Sin target,Twitter Web App,marcmarginedas
marcmarginedas,131216225,20769,1712,"Fui corresponsal de El Periodico en Moscu, y seguiré en otros lugares. Estudié Periodismo y Relaciones Internacionales. Adoro viajar por la exURSS y mundo árabe",RT @JoanaDeusPereir: 2023 started with a great collaboration with @marcmarginedas and @elperiodico on Wagner https://t.co/Igsrln5hOz @RUSIE…,1610673511357358081,0,4,2023-01-04 16:24:24+00:00,Retweet,Sin ubicación,Sin target,Twitter for iPhone,JoanaDeusPereir
marcmarginedas,131216225,20769,1712,"Fui corresponsal de El Periodico en Moscu, y seguiré en otros lugares. Estudié Periodismo y Relaciones Internacionales. Adoro viajar por la exURSS y mundo árabe","Tras derrotas militares, el Kremlin permite reclutar a criminales convictos para luchar en Ucrania. Examinamos las consecuencias de la decisión y del ascenso del líder del grupo mercenario Wagner, con actitudes propias del crimen organizado.  @elperiodico https://t.co/ni752DtK5R",1610547611290816518,11,17,2023-01-04 08:04:07+00:00,Tweet,Sin ubicación,Sin target,Twitter Web App,marcmarginedas
marcmarginedas,131216225,20769,1712,"Fui corresponsal de El Periodico en Moscu, y seguiré en otros lugares. Estudié Periodismo y Relaciones Internacionales. Adoro viajar por la exURSS y mundo árabe","RT @yolandaSZ_: La destrucción de Jersón tras la liberación, en imágenes https://t.co/x8s6P3ltvr vía @el_pais",1610023533488312320,0,3,2023-01-02 21:21:37+00:00,Retweet,Sin ubicación,Sin target,Twitter for iPhone,yolandaSZ_
marcmarginedas,131216225,20769,1712,"Fui corresponsal de El Periodico en Moscu, y seguiré en otros lugares. Estudié Periodismo y Relaciones Internacionales. Adoro viajar por la exURSS y mundo árabe","RT @Jglez360: Qué salvajada (y qué raramente se publica la realidad en Rusia) 

El chef de Putin muestra su visita a una morgue (sótano) co…",1609993961933766659,0,125,2023-01-02 19:24:07+00:00,Retweet,Sin ubicación,Sin target,Twitter for iPhone,Jglez360
marcmarginedas,131216225,20769,1712,"Fui corresponsal de El Periodico en Moscu, y seguiré en otros lugares. Estudié Periodismo y Relaciones Internacionales. Adoro viajar por la exURSS y mundo árabe",RT @manuelrico: Hoy hace 1.019 días que el Gobierno Ayuso aprobó el Protocolo que impedía trasladar al hospital a los residentes más vulner…,1609578938799472640,0,5781,2023-01-01 15:54:58+00:00,Retweet,Sin ubicación,Sin target,Twitter for iPhone,manuelrico
marcmarginedas,131216225,20769,1712,"Fui corresponsal de El Periodico en Moscu, y seguiré en otros lugares. Estudié Periodismo y Relaciones Internacionales. Adoro viajar por la exURSS y mundo árabe",RT @carolAlvarezMo: Informar sobre el terreno: @marcmarginedas y @mirdf te cuentan algunos momentos que vivieron en su cobertura de la #Gue…,1609142427943858176,0,6,2022-12-31 11:00:25+00:00,Retweet,Sin ubicación,Sin target,Twitter for iPhone,carolAlvarezMo
marcmarginedas,131216225,20769,1712,"Fui corresponsal de El Periodico en Moscu, y seguiré en otros lugares. Estudié Periodismo y Relaciones Internacionales. Adoro viajar por la exURSS y mundo árabe","Una vez más, @JJFernandezint nos saca a la luz una información exclusiva, en esta ocasión sobre la presencia del grupo de mercenarios Wagner en Serbia, un país neutral sobre el papel pero con poderosos vínculos con el Kremlin. @elperiodico https://t.co/kXDXbecZj6",1607403766101250048,10,5,2022-12-26 15:51:36+00:00,Tweet,Sin ubicación,Sin target,Twitter Web App,marcmarginedas
marcmarginedas,131216225,20769,1712,"Fui corresponsal de El Periodico en Moscu, y seguiré en otros lugares. Estudié Periodismo y Relaciones Internacionales. Adoro viajar por la exURSS y mundo árabe",RT @marcmarginedas: @PabloMgal ¡Buenísmo!,1607040689694547968,0,1,2022-12-25 15:48:52+00:00,Retweet,Sin ubicación,Sin target,Twitter Web App,marcmarginedas
marcmarginedas,131216225,20769,1712,"Fui corresponsal de El Periodico en Moscu, y seguiré en otros lugares. Estudié Periodismo y Relaciones Internacionales. Adoro viajar por la exURSS y mundo árabe","El año que ahora acaba sin duda pasará a la Historia como el año de la guerra de Ucrania. Aquí, a modo de crónica, relatamos las frenéticas horas previas a la invasión rusa, y detallamos los días posteriores al inicio de la contienda. @elperiodico https://t.co/WSWipv1G67",1607040394998554627,14,0,2022-12-25 15:47:42+00:00,Tweet,Sin ubicación,Sin target,Twitter Web App,marcmarginedas
